"person_id","name","ocupation","number_of_movies","total_box_office"
nm0000524,Mary Stuart Masterson,actress,4,43112148
nm0000525,Heather Matarazzo,actress,1,35728184
nm0000526,Samantha Mathis,actress,1,54700104
nm0000527,Walter Matthau,actor,4,84538072
nm0000529,Debi Mazar,actress,1,104391624
nm0000530,Andrew McCarthy,actor,7,132964280
nm0000531,Frances McDormand,actress,8,497208992
nm0000532,Malcolm McDowell,actor,3,58440824
nm0000534,Kelly McGillis,actress,6,284622976
nm0000535,Rose McGowan,actress,3,92062464
nm0000538,Colm Meaney,actor,1,10904930
nm0000539,Dina Meyer,actress,1,19075720
nm0000541,Bette Midler,actress,9,518580160
nm0000542,Penelope Ann Miller,actress,3,78258576
nm0000545,Helen Mirren,actress,13,955796224
nm0000546,Matthew Modine,actor,6,97057216
nm0000547,Alfred Molina,actor,6,1063900352
nm0000549,Roger Moore,actor,1,50327960
nm0000551,Dermot Mulroney,actor,10,483342720
nm0000552,Eddie Murphy,actor,17,4070212352
nm0000553,Liam Neeson,actor,25,2916913664
nm0000554,Sam Neill,actor,6,308426208
nm0000555,Judd Nelson,actor,3,23452128
nm0000557,Brigitte Nielsen,actress,2,55990856
nm0000558,Leslie Nielsen,actor,3,161066384
nm0000559,Leonard Nimoy,actor,4,553453312
nm0000559,Leonard Nimoy,director,2,172545568
nm0000560,Nick Nolte,actor,10,283062592
nm0000562,Jeremy Northam,actor,3,94856464
nm0000563,Chris O'Donnell,actor,4,366990880
nm0000564,Peter O'Toole,actor,3,64870984
nm0000565,Lena Olin,actress,3,68904040
nm0000566,Julia Ormond,actress,5,495423488
nm0000568,Frank Oz,actor,1,13961370
nm0000568,Frank Oz,director,7,478808864
nm0000569,Gwyneth Paltrow,actress,7,1514932992
nm0000570,Alan Parker,director,5,104734592
nm0000571,Mary-Louise Parker,actress,3,265934736
nm0000572,Sarah Jessica Parker,actress,7,1111294976
nm0000573,Dolly Parton,actress,1,31158112
nm0000574,Jason Patric,actor,5,91841992
nm0000575,Alexandra Paul,actress,1,1305114.0
nm0000576,Sean Penn,actor,14,682449024
nm0000578,Anthony Perkins,actor,1,14481606
nm0000579,Ron Perlman,actor,6,580044800
nm0000582,Joe Pesci,actor,4,236762384
nm0000583,Wolfgang Petersen,director,2,565069440
nm0000584,Amanda Peterson,actress,2,35922856
nm0000586,Jada Pinkett Smith,actress,5,1917591552
nm0000586,Jada Pinkett Smith,producer,2,602737984
nm0000587,Donald Pleasence,actor,4,58710136
nm0000591,Roman Polanski,director,4,68901616
nm0000592,Pete Postlethwaite,actor,1,19652184
nm0000593,Kelly Preston,actress,6,216211024
nm0000596,Jonathan Pryce,actor,4,119333968
nm0000597,Bill Pullman,actor,5,182778688
nm0000598,Dennis Quaid,actor,21,1437993984
nm0000599,Kathleen Quinlan,actress,3,77121560
nm0000600,Sam Raimi,director,8,3564091648
nm0000600,Sam Raimi,producer,7,520739456
nm0000601,Harold Ramis,actor,2,139207216
nm0000601,Harold Ramis,director,2,67311656
nm0000602,Robert Redford,actor,7,1229445248
nm0000602,Robert Redford,director,2,53285224
nm0000602,Robert Redford,producer,1,5969553.0
nm0000603,Vanessa Redgrave,actress,4,84349256
nm0000604,John C. Reilly,actor,12,1941382784
nm0000605,Brad Renfro,actor,2,26488472
nm0000606,Jean Reno,actor,10,456538208
nm0000607,Paul Reubens,actor,3,74627600
nm0000608,Burt Reynolds,actor,8,103511944
nm0000609,Ving Rhames,actor,7,1496528896
nm0000610,Giovanni Ribisi,actor,8,762179904
nm0000612,Denise Richards,actress,4,246018784
nm0000613,Joely Richardson,actress,1,215294336
nm0000614,Alan Rickman,actor,1,83008848
nm0000615,John Ritter,actor,2,20548756
nm0000616,Eric Roberts,actor,4,13116697
nm0000617,Tanya Roberts,actress,1,50327960
nm0000618,Isabella Rossellini,actress,4,32135846
nm0000619,Tim Roth,actor,5,339030720
nm0000620,Mickey Rourke,actor,11,370457952
nm0000621,Kurt Russell,actor,10,519746848
nm0000622,Theresa Russell,actress,4,39095420
nm0000623,Rene Russo,actress,7,639562176
nm0000624,Laura San Giacomo,actress,1,24742088
nm0000625,Fred Savage,actor,4,35914168
nm0000625,Fred Savage,director,1,18197398
nm0000626,John Sayles,director,2,7360873.0
nm0000627,Greta Scacchi,actress,1,2473668.0
nm0000630,Liev Schreiber,actor,5,653193600
nm0000631,Ridley Scott,director,10,2429290496
nm0000631,Ridley Scott,producer,2,55867240
nm0000633,Tom Selleck,actor,5,376296864
nm0000638,William Shatner,actor,2,161923184
nm0000639,Ally Sheedy,actress,4,58611400
nm0000640,Martin Sheen,actor,4,98738000
nm0000641,Gary Sinise,actor,5,382987840
nm0000643,Tom Skerritt,actor,1,14114488
nm0000644,Helen Slater,actress,2,138620768
nm0000647,Alan Smithee,director,1,2136381.0
nm0000648,Wesley Snipes,actor,6,376257664
nm0000650,Talisa Soto,actress,2,54591048
nm0000651,Sissy Spacek,actress,3,24529768
nm0000652,James Spader,actor,7,167056752
nm0000654,Terence Stamp,actor,5,557096896
nm0000655,Eric Stoltz,actor,4,58678912
nm0000656,Madeleine Stowe,actress,4,333730208
nm0000657,David Strathairn,actor,6,668704512
nm0000658,Meryl Streep,actress,23,2696049408
nm0000659,Barbra Streisand,actress,2,72813728
nm0000661,Donald Sutherland,actor,9,658118464
nm0000662,Kiefer Sutherland,actor,9,374259872
nm0000664,Patrick Swayze,actor,7,144448048
nm0000665,D.B. Sweeney,actor,4,370059264
nm0000666,Lili Taylor,actress,3,210885744
nm0000667,David Thewlis,actor,3,162610384
nm0000668,Emma Thompson,actress,9,1231353600
nm0000669,Fred Thompson,actor,2,86353904
nm0000670,Lea Thompson,actress,6,202779808
nm0000671,Billy Bob Thornton,actor,7,304490880
nm0000671,Billy Bob Thornton,director,1,18133496
nm0000672,Meg Tilly,actress,3,21830718
nm0000673,Marisa Tomei,actress,6,2150846464
nm0000674,Tamlyn Tomita,actress,1,947306.0
nm0000676,Chris Tucker,actor,3,309711872
nm0000677,Robin Tunney,actress,3,444449408
nm0000678,Kathleen Turner,actress,7,454918304
nm0000681,Vince Vaughn,actor,12,1478235648
nm0000682,Paul Verhoeven,director,1,53424680
nm0000685,Jon Voight,actor,7,912089536
nm0000686,Christopher Walken,actor,9,375302528
nm0000687,J.T. Walsh,actor,3,20738888
nm0000688,Sela Ward,actress,3,60211288
nm0000690,Lesley Ann Warren,actress,2,20027684
nm0000691,John Waters,director,3,16898996
nm0000693,Peter Weller,actor,3,79197336
nm0000694,Wim Wenders,director,1,23002182
nm0000695,Joanne Whalley,actress,3,66353560
nm0000696,Wil Wheaton,actor,2,54217416
nm0000698,Gene Wilder,actor,2,54942384
nm0000699,Michael Wincott,actor,1,171235584
nm0000700,Debra Winger,actress,5,187344512
nm0000701,Kate Winslet,actress,16,1755498752
nm0000702,Reese Witherspoon,actress,11,1772229888
nm0000702,Reese Witherspoon,producer,1,369330368
nm0000704,Elijah Wood,actor,3,224552880
nm0000704,Elijah Wood,producer,1,64188368
nm0000705,Robin Wright,actress,6,1429095168
nm0000706,Michelle Yeoh,actress,6,1123637888
nm0000707,Sean Young,actress,3,60298904
nm0000708,Billy Zane,actor,2,31290480
nm0000709,Robert Zemeckis,director,8,1237389312
nm0000709,Robert Zemeckis,producer,2,209941216
nm0000716,Paula Abdul,actress,1,10691091
nm0000719,F. Murray Abraham,actor,4,794833856
nm0000720,Jim Abrahams,director,2,111775368
nm0000722,Joss Ackland,actor,2,18813596
nm0000724,Brooke Adams,actress,1,519596.0
nm0000725,Joey Lauren Adams,actress,2,440470080
nm0000729,Casey Affleck,actor,4,289709184
nm0000732,Danny Aiello,actor,6,193954368
nm0000739,Debbie Allen,actress,1,18034150
nm0000741,Tim Allen,actor,4,1455880064
nm0000744,Maria Conchita Alonso,actress,5,114207776
nm0000746,Trini Alvarado,actress,1,8253123.0
nm0000747,Don Ameche,actor,2,22452806
nm0000750,Jon Amiel,director,3,106787376
nm0000750,Jon Amiel,producer,1,4398989.0
nm0000754,Kevin Anderson,actor,1,3531971.0
